user_id,profile_id,gender,occupation,interaction
700,1362,Female,Artist,4
411,1617,Female,Doctor,3
380,1272,Male,Doctor,3
86,1975,Female,Scientist,3
491,1789,Female,Manager,2
802,1593,Female,Doctor,1
722,1948,Male,Designer,2
400,1172,Male,Scientist,3
329,1005,Female,Teacher,1
363,1997,Female,Developer,5
56,1780,Male,Developer,4
240,1624,Female,Manager,4
679,1059,Female,Doctor,5
311,1187,Female,Artist,3
56,1655,Female,Manager,3
376,1360,Female,Teacher,2
917,1853,Female,Doctor,5
972,1757,Female,Designer,4
645,1278,Male,Teacher,3
224,1363,Female,Manager,4
715,1045,Male,Developer,3
205,1251,Male,Artist,3
609,1484,Male,Artist,4
314,1954,Female,Designer,5
75,1336,Male,Artist,4
186,1890,Female,Designer,5
225,1879,Male,Lawyer,1
386,1594,Male,Teacher,1
825,1615,Female,Engineer,4
536,1371,Female,Developer,3
129,1970,Female,Doctor,3
941,1482,Female,Artist,2
656,1580,Male,Artist,2
29,1783,Male,Developer,4
686,1371,Male,Teacher,3
81,1875,Female,Teacher,3
136,1411,Male,Teacher,2
392,1907,Female,Manager,4
774,1470,Male,Teacher,4
202,1191,Female,Teacher,5
454,1948,Male,Doctor,2
591,1187,Female,Scientist,2
385,1383,Male,Designer,2
925,1289,Female,Developer,4
188,1246,Female,Doctor,4
956,1312,Female,Scientist,5
554,1236,Female,Teacher,4
50,1155,Female,Lawyer,3
468,1417,Female,Doctor,2
594,1729,Female,Developer,2
478,1619,Male,Engineer,3
763,1563,Female,Doctor,3
870,1045,Female,Doctor,4
538,1811,Male,Lawyer,4
777,1101,Female,Lawyer,1
987,1194,Male,Designer,3
640,1954,Male,Engineer,4
161,1886,Female,Engineer,3
98,1549,Male,Artist,2
835,1856,Female,Engineer,4
696,1984,Male,Developer,4
200,1808,Female,Doctor,2
902,1942,Male,Scientist,5
213,1210,Female,Artist,2
8,1739,Male,Engineer,1
893,1305,Male,Manager,3
531,1092,Female,Teacher,3
812,1306,Male,Designer,2
522,1437,Female,Manager,5
4,1224,Female,Engineer,2
176,1576,Male,Artist,2
334,1987,Male,Teacher,4
592,1799,Male,Teacher,4
202,1576,Female,Artist,2
236,1953,Female,Designer,3
452,1752,Female,Doctor,1
960,1162,Female,Scientist,2
716,1424,Female,Artist,1
81,1773,Male,Artist,4
655,1198,Male,Developer,2
953,1676,Female,Doctor,4
884,1483,Female,Artist,5
39,1548,Female,Scientist,4
369,1218,Female,Designer,2
792,1123,Male,Developer,3
